gender,birth,marriage,religion,income,code_job,code_region
2,1945,2,1,,,1
1,1948,2,2,,,1
1,1942,3,1,107,762,1
1,1962,1,1,192,855,1
2,1963,1,1,,,1
2,2003,0,1,,,1
1,1927,1,1,,,1
2,1934,1,1,27,941,1
2,1940,2,1,27,999,2
2,1970,3,1,,,1
2,1992,5,1,,,1
1,1940,1,2,,,1
2,1941,1,2,,,1
1,1962,5,1,,,1
1,1978,1,2,338,312,1
2,1975,1,2,200,254,1
2,2004,0,2,,,1
2,2008,0,2,,,1
1,1941,1,1,,,1
2,1942,1,1,110,510,1
1,1964,5,2,,,1
2,1940,2,2,,,1
1,1975,5,1,,521,1
1,1978,1,2,,151,1
2,1982,1,2,,521,1
2,1961,1,1,113,951,1
1,1961,1,2,315,783,1
2,1986,5,2,200,399,1
2,1962,1,1,148,941,1
2,1985,4,2,158,313,1
1,1992,5,2,238,442,1
1,1952,1,2,156,910,1
2,1961,3,1,,951,1
2,1982,1,2,,531,1
1,1984,1,2,,531,1
1,1971,5,2,,873,7
1,1943,2,2,,,1
2,1945,2,2,,,1
1,1975,5,2,,,1
1,1972,1,1,,,1
2,1974,1,1,583,320,1
2,2006,0,1,,,1
2,2006,0,1,,,1
1,1980,5,2,239,442,1
2,1954,3,2,250,421,1
2,1941,2,1,,,1
1,1972,1,2,258,313,1
2,1973,1,2,,,1
1,2004,0,2,,,1
1,1926,1,2,,,1
2,1936,1,2,,,1
1,1968,5,2,219,842,1
2,1940,2,2,,,1
2,1982,1,1,,,2
1,1976,1,1,260,873,2
1,2010,0,1,,,2
2,2012,0,1,,,2
2,1937,3,1,,,1
2,1972,5,2,238,313,1
2,1942,2,2,,,1
1,1973,1,2,278,510,1
2,1974,1,2,,,1
2,2009,0,2,,,1
1,1959,1,2,228,852,1
2,1967,1,2,80,930,1
2,1995,5,2,,,1
2,1998,5,2,190,521,1
1,1955,1,2,115,991,1
2,1958,1,2,,,1
1,1982,5,2,240,521,1
1,1968,1,1,1017,312,1
2,1970,1,1,,,1
1,1994,5,1,,930,1
1,1999,5,1,,,1
1,1973,1,1,750,312,1
2,1975,1,1,,,1
1,2004,0,1,,,1
2,2007,0,1,,,1
1,1950,1,1,,991,5
2,1956,1,1,140,941,5
1,1930,1,2,,,1
2,1938,1,2,,,1
2,1962,2,1,100,422,1
2,1991,5,1,150,422,1
2,1959,2,1,,,1
2,1989,5,1,205,285,1
2,1995,5,1,200,399,1
2,1997,5,1,,521,1
2,1982,5,2,212,921,5
2,1985,5,2,272,441,5
2,1957,4,2,,921,5
2,1955,4,2,,,5
1,1975,5,2,528,761,5
1,1947,1,1,188,851,1
2,1956,1,1,,,1
1,1980,5,1,674,235,1
1,1954,1,1,,,1
2,1960,1,1,,,1
1,1978,5,1,466,312,1
2,1983,5,1,230,442,1
1,1981,5,1,,442,1
2,1946,2,2,,,1
1,1965,1,1,,721,1
2,1968,1,1,,721,1
2,1998,5,1,,,1
2,2001,0,1,,,1
1,1958,1,1,310,772,1
2,1959,1,1,,,1
1,1988,5,1,179,930,1
1,1991,5,2,220,921,1
2,1985,1,2,,,6
1,1979,1,2,264,742,6
1,1960,1,1,220,941,1
2,1960,1,1,90,941,1
2,1989,5,2,,,1
1,1987,1,1,277,863,2
2,1986,1,1,,,2
1,2013,0,1,,,2
2,2017,0,1,,,2
1,1961,3,2,192,910,2
2,1992,5,2,,,2
2,1996,5,2,,521,2
2,1933,2,2,,,2
1,1967,3,2,102,521,1
2,1994,5,2,40,521,1
2,1937,2,2,,,1
1,1935,1,2,,,1
2,1941,1,1,,,1
1,1936,1,2,,,1
2,1940,1,2,,,1
1,1957,1,2,273,792,1
2,1960,1,2,,,1
1,1983,5,2,198,899,2
1,1950,1,2,234,873,1
2,1953,1,1,147,941,1
1,1962,1,2,,431,1
2,1963,1,1,150,951,1
2,1989,5,2,318,285,1
1,1992,5,2,210,799,1
1,1959,1,2,,875,1
2,1961,1,2,,,1
2,1990,5,2,257,312,2
1,1954,1,2,180,862,1
2,1955,1,2,,941,1
2,1989,5,2,208,243,1
1,1971,1,2,,,1
2,1977,1,2,,,1
2,2000,5,2,,,1
1,2002,0,2,,,1
1,2004,0,2,,,1
2,2014,0,2,,,1
2,1939,2,2,,,1
1,1949,1,2,,,1
2,1954,1,1,,521,1
1,1978,1,2,458,311,2
2,1982,1,1,,,2
2,2014,0,2,,,2
1,2016,0,2,,,2
1,1942,1,1,,,1
2,1949,1,1,,,1
1,1995,5,2,200,922,1
1,1998,5,2,50,521,1
2,1980,1,2,,,1
1,1980,1,2,542,222,1
2,2016,0,2,,,1
2,1957,3,2,185,421,5
2,1943,2,1,61,941,1
1,1973,5,2,250,521,1
1,1960,1,2,410,314,1
2,1966,1,2,83,510,1
2,1943,2,1,40,941,1
2,1971,1,1,120,259,1
2,1998,5,2,,,1
2,1999,5,2,,,1
1,1968,1,2,358,799,1
1,1958,1,1,266,721,1
2,1958,1,1,,952,1
1,1986,1,2,260,159,1
2,1984,1,2,,,1
1,2013,0,2,,,1
1,1966,1,1,392,862,1
2,1968,1,1,160,399,1
1,2000,5,1,,,1
1,1974,1,2,344,953,1
2,1973,1,2,160,930,1
2,2003,0,2,,,1
1,2004,0,2,,,1
1,1959,1,2,214,741,1
2,1959,1,1,173,441,1
1,1960,1,2,178,941,1
2,1960,1,1,95,941,1
1,1988,5,2,180,510,1
1,1985,5,2,317,221,1
2,1960,4,1,,951,1
1,1987,5,2,192,314,1
2,1943,4,1,94,941,1
