발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2022,2022-01-01 10:00,주,토,1,0,0,0,0,전남,순천시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,없음,1000059,1660526,127.50064609,34.9395644
2022,2022-01-01 14:00,주,토,1,0,0,0,0,전북,전주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,승용차,965929,1760951,127.1227096,35.84448986
2022,2022-01-01 17:00,주,토,1,0,0,0,0,경기,연천군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,966667,2021002,127.11936494,38.18866892
2022,2022-01-01 20:00,야,토,1,0,0,0,0,부산,기장군,차대차,기타,기타,안전운전 의무 불이행,단일로,고가도로위,승용차,승용차,1156990,1697307,129.22577347,35.25892007
2022,2022-01-02 06:00,주,일,1,0,0,0,0,서울,서대문구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,950217,1953529,126.93618244,37.57980009
2022,2022-01-02 20:00,야,일,1,0,0,0,0,부산,기장군,차대차,측면충돌,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,이륜차,1152580,1704921,129.17873039,35.32822763
2022,2022-01-02 21:00,야,일,1,0,0,0,0,인천,미추홀구,차대사람,차도통행중,차도통행중,기타,단일로,기타단일로,승용차,보행자,927256,1940265,126.6774716,37.45872717
2022,2022-01-03 04:00,야,월,1,1,0,1,0,경기,성남시,차대차,추돌,추돌,안전운전 의무 불이행,기타,기타,화물차,화물차,968126,1936615,127.13973948,37.42814058
2022,2022-01-03 15:00,주,월,1,0,0,0,0,충북,청주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승합차,보행자,1000319,1848214,127.5035681,36.631809
2022,2022-01-03 15:00,주,월,1,1,1,0,0,경남,고성군,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,1076602,1669205,128.33960086,35.01492294
2022,2022-01-03 16:00,주,월,1,0,0,0,0,경북,울진군,차량단독,전도,전도,기타,단일로,기타단일로,원동기장치자전거,없음,1176220,1859130,129.47305118,36.71386019
2022,2022-01-03 18:00,야,월,1,0,0,0,0,서울,영등포구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,947053,1945537,126.90092698,37.50759076
2022,2022-01-03 18:00,야,월,1,0,0,0,0,경기,시흥시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,939422,1936199,126.81535866,37.42295724
2022,2022-01-03 22:00,야,월,1,0,0,0,0,강원,강릉시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1123289,1973811,128.89957896,37.75564526
2022,2022-01-04 15:00,주,화,1,0,0,0,0,전남,완도군,차량단독,공작물충돌,공작물충돌,기타,단일로,기타단일로,화물차,없음,937532,1601168,126.82034174,34.40239027
2022,2022-01-04 16:00,주,화,1,1,0,1,0,경기,양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,951249,1969470,126.94680506,37.72353179
2022,2022-01-04 17:00,주,화,1,0,0,0,0,부산,서구,차대사람,길가장자리구역통행중,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,1138164,1679713,129.01594219,35.10310224
2022,2022-01-04 17:00,주,화,1,0,0,0,0,부산,부산진구,차대사람,횡단중,횡단중,기타,교차로,교차로내,이륜차,보행자,1138903,1686236,129.02514424,35.1617992
