행정구역(시도),성별,15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율(％),고용률(%),실업률(%)
서울특별시,남자,4007,2849,2760,89,1158,71.1,68.9,3.1
서울특별시,여자,4440,2418,2347,72,2022,54.5,,3
부산광역시,남자,1406,973,946,27,433,69.2,67.3,2.7
부산광역시,여자,1528,768,745,23,760,50.3,48.8,3
대구광역시,남자,1001,708,691,17,294,70.6,69,2.3
대구광역시,여자,1071,556,543,13,515,51.9,,
인천광역시,남자,1279,955,928,27,324,74.7,,
인천광역시,여자,1309,732,717,15,577,55.9,,2
광주광역시,남자,623,434,423,10,190,69.6,,2.4
광주광역시,여자,656,346,339,8,309,52.8,,2.3
대전광역시,남자,635,466,461,5,169,73.4,,1
대전광역시,여자,653,353,346,7,300,54,,2
울산광역시,남자,489,360,349,11,129,73.7,71.3,3.2
울산광역시,여자,466,230,224,6,236,49.4,48.2,2.4
세종특별자치시,남자,156,120,119,2,36,77,75.9,1.4
세종특별자치시,여자,158,85,83,1,74,53.4,52.5,1.7
경기도,남자,5944,4560,4459,101,1384,76.7,75,2.2
경기도,여자,5981,3283,3199,84,2697,54.9,,2.6
강원도,남자,651,465,454,11,186,71.4,69.7,2.3
강원도,여자,675,403,393,10,272,59.7,58.2,2.5
충청북도,남자,722,555,543,12,167,76.9,75.2,2.2
충청북도,여자,708,402,399,3,306,56.7,56.4,0.6
충청남도,남자,975,754,740,14,221,77.3,76,
충청남도,여자,938,550,542,8,388,58.6,57.8,
전라북도,남자,766,548,540,9,218,71.5,70.4,
전라북도,여자,790,453,446,7,337,57.3,56.4,1.5
전라남도,남자,762,580,571,8,182,76.1,75,1.4
전라남도,여자,763,460,454,6,302,60.4,,1.3
경상북도,남자,1166,875,854,21,290,75.1,73.3,2.4
경상북도,여자,1161,652,638,14,509,56.2,55,2.1
경상남도,남자,1427,1036,1009,27,391,72.6,70.7,2.6
경상남도,여자,1421,760,740,20,661,53.5,52,
제주특별자치도,남자,285,227,221,5,59,79.4,77.6,2.3
제주특별자치도,여자,291,197,195,2,94,67.6,66.9,1
